"gender","education","age","country","results_count","effective_sample_size","vaccine_accept_yes","vaccine_accept_no","vaccine_accept_dontknow","vaccine_accept_alreadytaken"
"all","college","all","KE","4077","1935.632","0.69406897791168","0.17479739381857","0.13113362826976","0"
"all","college","all","US","30445","15423.927","0.50358383398463","0.22530826752983","0.19882400554592","0.072283892939611"
"all","college","all","AF","2532","523.396","0.79680858172495","0.085069909104506","0.11812150917054","0"
"all","college","all","AO","3389","1604.899","0.58112415651387","0.12698138750812","0.291894455978","0"
"all","college","all","AR","20418","8824.946","0.646818211506","0.13825684630468","0.19452179234309","0.020403149846223"
"all","college","all","AU","2552","1970.27","0.72122127389914","0.11155697776096","0.1672217483399","0"
"all","college","all","AZ","2511","1528.447","0.29252841694321","0.42006144426937","0.28741013878741","0"
"all","college","all","BD","28927","6814.294","0.76832112678797","0.085332812566934","0.11283010289668","0.033515957748433"
"all","college","all","BO","3171","1732.667","0.69442713279162","0.13877363880791","0.16679922840047","0"
"all","college","all","BR","17122","9697.733","0.78326651671008","0.087852129247867","0.11674849770249","0.012132856339558"
"all","college","all","CA","3116","2355.405","0.6781143369376","0.12583435697498","0.19605130608742","0"
"all","college","all","CL","2528","1735.777","0.60996459702227","0.16672828892239","0.22330711405534","0"
"all","college","all","CM","2415","1486.238","0.33700895403837","0.43338204313929","0.22960900282235","0"
"all","college","all","CO","25569","13829.427","0.66551396311528","0.14972299443136","0.18156807398642","0.0031949684669325"
"all","college","all","DE","27248","15338.617","0.61286476604328","0.190609272109","0.17996722694703","0.016558734900687"
"all","college","all","DZ","2408","1055.433","0.41921875715169","0.2974249778359","0.2833562650124","0"
"all","college","all","EC","2728","1360.992","0.73002176317668","0.12850660827559","0.14147162854773","0"
"all","college","all","EE","2120","890.462","0.51571724507601","0.22826435368725","0.25601840123674","0"
"all","college","all","ES","2270","1260.604","0.55087335882544","0.16032877638118","0.28879786479338","0"
"all","college","all","FR","15124","10536.569","0.46168148173083","0.26891292318017","0.25417953036321","0.015226064725787"
"all","college","all","GB","31414","18394.446","0.67990066087014","0.10471383987395","0.14261576572048","0.072769733535432"
"all","college","all","GE","3050","1198.494","0.37198865600108","0.31582154701538","0.31218979698354","0"
"all","college","all","GH","2835","1187.447","0.57901007532284","0.23894001500568","0.18204990967147","0"
"all","college","all","GT","2707","1407.013","0.74751920980439","0.095089667892224","0.15739112230338","0"
"all","college","all","HN","2450","1518.877","0.73720182870522","0.098574913510918","0.16422325778386","0"
"all","college","all","ID","35046","18233.748","0.55068347259032","0.19704874164066","0.23794489386045","0.014322891908589"
"all","college","all","IN","31010","9040.218","0.72654177911026","0.10642622809799","0.14671241386183","0.020319578929933"
"all","college","all","IQ","3367","1334.738","0.66413681313439","0.1587282157228","0.17713497114281","0"
"all","college","all","IT","14333","6191.206","0.66451809972632","0.12562066433931","0.18339242683859","0.026468809095779"
"all","college","all","JM","1827","1113.296","0.30926897422768","0.37640877302827","0.31432225274405","0"
"all","college","all","JP","37830","14120.894","0.57523700051035","0.10632282083976","0.31682976030451","0.0016104183453774"
