gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,alreadytaken
all,Secondary School,all,KE,1160,632.104,0.765751454,0.1290585,0.105190046,0
all,College/University,all,KE,4077,1935.632,0.694068978,0.174797394,0.131133628,0
all,Graduate School,all,KE,920,391.993,0.659578382,0.18217675,0.158244868,0
all,Less Than Primary School,all,US,331,191.551,0.428477078,0.285074016,0.264271375,0.022177531
all,Secondary School,all,AF,416,124.434,0.733017748,0.094077703,0.172904549,0
all,Primary School,all,AF,227,70.886,0.689501035,0.115067389,0.195431576,0
all,Less Than Primary School,all,AF,202,77.996,0.806805063,0.065781521,0.127413417,0
all,Primary School,all,US,2551,1454.25,0.430187756,0.287968639,0.250609866,0.031233739
all,Secondary School,all,US,10899,5655.706,0.518123385,0.188050797,0.241778422,0.052047396
all,College/University,all,US,30445,15423.927,0.503583834,0.225308268,0.198824006,0.072283893
all,Graduate School,all,US,14099,7390.813,0.568001096,0.168802579,0.174699172,0.088497154
all,College/University,all,AF,2532,523.396,0.796808582,0.085069909,0.118121509,0
all,Graduate School,all,AF,1498,311.32,0.778652156,0.116469754,0.104878089,0
all,Primary School,all,AO,66,32.656,0.586647155,0.197529382,0.215823463,0
all,Secondary School,all,AO,1485,724.738,0.552871504,0.110149714,0.336978783,0
all,College/University,all,AO,3389,1604.899,0.581124157,0.126981388,0.291894456,0
all,Graduate School,all,AO,596,264.91,0.609395754,0.132825712,0.257778534,0
all,Graduate School,all,AR,3857,2009.948,0.638595043,0.139729867,0.187964908,0.033710181
all,College/University,all,AR,20418,8824.946,0.646818212,0.138256846,0.194521792,0.02040315
all,Secondary School,all,AR,30312,19983.961,0.639231607,0.139388275,0.21389176,0.007488357
all,Primary School,all,AR,6310,4371.269,0.650444685,0.137924443,0.206224504,0.005406368
all,Less Than Primary School,all,AR,312,36.285,0.528266915,0.183736836,0.145343239,0.14265301
all,Primary School,all,AU,63,46.264,0.701640192,0.139541342,0.158818465,0
all,Secondary School,all,AU,1941,1491.423,0.72965911,0.10455768,0.165783209,0
all,College/University,all,AU,2552,1970.27,0.721221274,0.111556978,0.167221748,0
all,Graduate School,all,AU,1092,792.049,0.786865176,0.097097022,0.116037802,0
all,Graduate School,all,AZ,742,461.812,0.310302053,0.411537891,0.278160055,0
all,College/University,all,AZ,2511,1528.447,0.292528417,0.420061444,0.287410139,0
all,Secondary School,all,AZ,635,440.281,0.26696495,0.424147184,0.308887867,0
all,Primary School,all,AZ,118,87.366,0.280657335,0.419882168,0.299460497,0
all,Less Than Primary School,all,BD,564,209.561,0.859403568,0.021168124,0.090156421,0.029271887
all,Primary School,all,BD,708,268.318,0.648660994,0.12783871,0.212290492,0.011209804
all,College/University,all,BD,28927,6814.294,0.768321127,0.085332813,0.112830103,0.033515958
all,Secondary School,all,BD,4699,1220.244,0.718233438,0.099412932,0.157971817,0.024381812
all,Graduate School,all,BD,22304,4599.507,0.787601967,0.078568907,0.090930665,0.042898461
all,Graduate School,all,BO,990,485.934,0.669219675,0.158009137,0.172771188,0
all,College/University,all,BO,3171,1732.667,0.694427133,0.138773639,0.166799228,0
all,Secondary School,all,BO,1251,779.223,0.681611627,0.118577915,0.199810458,0
all,Primary School,all,BO,68,41.029,0.584786961,0.164065698,0.251147342,0
all,Less Than Primary School,all,BR,2984,2152.22,0.728370537,0.108518732,0.159357185,0.003753546
all,Primary School,all,BR,6384,4402.24,0.731901694,0.113696535,0.149813152,0.004588618
all,Secondary School,all,BR,25265,16579.826,0.751173315,0.093379467,0.147242044,0.008205174
all,College/University,all,BR,17122,9697.733,0.783266517,0.087852129,0.116748498,0.012132856
all,Graduate School,all,BR,8910,3648.19,0.801348514,0.074645157,0.10557248,0.018433849
all,Graduate School,all,CA,896,641.881,0.71056506,0.130845314,0.158589627,0
all,College/University,all,CA,3116,2355.405,0.678114337,0.125834357,0.196051306,0
all,Secondary School,all,CA,1377,999.338,0.601359882,0.172579613,0.226060505,0
all,Primary School,all,CA,137,95.637,0.61826148,0.218721664,0.163016856,0
all,Primary School,all,CL,243,151.58,0.612471685,0.168482701,0.219045614,0
all,Secondary School,all,CL,2237,1679.315,0.60873765,0.168230399,0.223031951,0
all,College/University,all,CL,2528,1735.777,0.609964597,0.166728289,0.223307114,0
all,Graduate School,all,CL,476,329.808,0.67544387,0.159102465,0.165453665,0
all,Graduate School,all,CM,1856,1104.422,0.329098913,0.446848173,0.224052914,0
all,College/University,all,CM,2415,1486.238,0.337008954,0.433382043,0.229609003,0
all,Secondary School,all,CM,1466,903.717,0.389425769,0.383350345,0.227223886,0
all,Primary School,all,CM,97,59.137,0.389695847,0.38103201,0.229272143,0
all,Less Than Primary School,all,CO,275,199.743,0.613232631,0.200574983,0.186192386,0
all,Primary School,all,CO,2452,1718.692,0.620843057,0.156058553,0.220147812,0.002950578
all,Secondary School,all,CO,24909,16165.429,0.634255435,0.145269237,0.219305014,0.001170313
all,College/University,all,CO,25569,13829.427,0.665513963,0.149722994,0.181568074,0.003194968
all,Graduate School,all,CO,7663,3835.033,0.714101166,0.127500779,0.155600437,0.002797619
all,Graduate School,all,DE,2518,864.814,0.645393091,0.187518336,0.147104518,0.019984055
all,College/University,all,DE,27248,15338.617,0.612864766,0.190609272,0.179967227,0.016558735
all,Secondary School,all,DE,28829,17112.186,0.564851975,0.201328847,0.214672177,0.019147001
all,Primary School,all,DE,3773,2126.504,0.61676063,0.16421055,0.208688475,0.010340346
all,Less Than Primary School,all,DE,666,424.831,0.482293612,0.229305071,0.283092001,0.005309316
all,Primary School,all,DZ,141,62.308,0.453147032,0.183526578,0.36332639,0
all,Secondary School,all,DZ,1625,765.509,0.432792362,0.282878644,0.284328994,0
all,College/University,all,DZ,2408,1055.433,0.419218757,0.297424978,0.283356265,0
all,Graduate School,all,DZ,1389,572.774,0.392434176,0.335241352,0.272324472,0
all,Graduate School,all,EC,572,293.497,0.765416802,0.102625295,0.131957904,0
all,College/University,all,EC,2728,1360.992,0.730021763,0.128506608,0.141471629,0
all,Secondary School,all,EC,2133,1325.331,0.725403549,0.09329117,0.181305282,0
all,Primary School,all,EC,229,148.688,0.631993146,0.139591392,0.228415462,0
all,Primary School,all,EE,108,49.627,0.500845606,0.184553979,0.314600415,0
all,Secondary School,all,EE,1297,517.552,0.457754184,0.237958555,0.30428726,0
all,College/University,all,EE,2120,890.462,0.515717245,0.228264354,0.256018401,0
all,Graduate School,all,EE,872,359.291,0.569388712,0.203807483,0.226803805,0
all,Graduate School,all,ES,777,468.28,0.549223013,0.150338236,0.300438751,0
all,College/University,all,ES,2270,1260.604,0.550873359,0.160328776,0.288797865,0
all,Secondary School,all,ES,2396,1531.38,0.530173749,0.182787721,0.28703853,0
all,Primary School,all,ES,615,399.226,0.529979684,0.141764741,0.328255575,0
