"gender","education","age","country","results_count","effective_sample_size","vaccine_accept_yes","vaccine_accept_no","vaccine_accept_dontknow","vaccine_accept_alreadytaken"
"all","graduate_school","all","KE","920","391.993","0.65957838155709","0.18217674998156","0.15824486846136","0"
"all","graduate_school","all","US","14099","7390.813","0.56800109597178","0.1688025786456","0.17469917159081","0.08849715379181"
"all","graduate_school","all","AF","1498","311.32","0.77865215645946","0.1164697544644","0.10487808907613","0"
"all","graduate_school","all","AO","596","264.91","0.60939575354662","0.13282571217517","0.25777853427821","0"
"all","graduate_school","all","AR","3857","2009.948","0.6385950434099","0.13972986737742","0.18796490843866","0.033710180774018"
"all","graduate_school","all","AU","1092","792.049","0.78686517601827","0.097097022290859","0.11603780169087","0"
"all","graduate_school","all","AZ","742","461.812","0.31030205319768","0.411537891433","0.27816005536931","0"
"all","graduate_school","all","BD","22304","4599.507","0.78760196718031","0.078568907165044","0.090930665148129","0.042898460506531"
"all","graduate_school","all","BO","990","485.934","0.66921967529697","0.15800913706389","0.17277118763914","0"
"all","graduate_school","all","BR","8910","3648.19","0.80134851401013","0.074645157062117","0.10557247986936","0.018433849058395"
"all","graduate_school","all","CA","896","641.881","0.710565059537","0.130845313619","0.158589626844","0"
"all","graduate_school","all","CL","476","329.808","0.67544387000136","0.1591024649722","0.16545366502643","0"
"all","graduate_school","all","CM","1856","1104.422","0.32909891343964","0.446848172985","0.22405291357536","0"
"all","graduate_school","all","CO","7663","3835.033","0.71410116552846","0.12750077858757","0.15560043713553","0.00279761874844"
"all","graduate_school","all","DE","2518","864.814","0.64539309112955","0.18751833617405","0.14710451807103","0.019984054625371"
"all","graduate_school","all","DZ","1389","572.774","0.39243417593441","0.33524135178223","0.27232447228336","0"
"all","graduate_school","all","EC","572","293.497","0.76541680151961","0.10262529494907","0.13195790353132","0"
"all","graduate_school","all","EE","872","359.291","0.56938871153039","0.20380748312505","0.22680380534455","0"
"all","graduate_school","all","ES","777","468.28","0.54922301252901","0.15033823646521","0.30043875100578","0"
"all","graduate_school","all","FR","21781","14555.215","0.49897807532589","0.23380686591996","0.24763764912092","0.019577409633229"
"all","graduate_school","all","GB","12910","2569.655","0.72671281529368","0.088782475188907","0.10833800720506","0.07616670231235"
"all","graduate_school","all","GE","1372","563.476","0.46960800803453","0.24658270384834","0.28380928811713","0"
"all","graduate_school","all","GH","1067","424.135","0.53211748245505","0.25071247289883","0.21717004464612","0"
"all","graduate_school","all","GT","553","281.634","0.70768301423694","0.13691418935173","0.15540279641133","0"
"all","graduate_school","all","HN","371","190.236","0.70454378764418","0.14596284236764","0.14949336998818","0"
"all","graduate_school","all","ID","5287","2566.464","0.56453026406946","0.20366045355802","0.21263606349461","0.019173218877902"
"all","graduate_school","all","IN","22151","5964.978","0.73738798267513","0.10210407082157","0.13918100705416","0.021326939449137"
"all","graduate_school","all","IQ","537","218.634","0.60307367113818","0.21469451367557","0.18223181518624","0"
"all","graduate_school","all","IT","13772","7486.098","0.72760405370035","0.0969158055905","0.13917077837588","0.036309362333268"
"all","graduate_school","all","JM","780","542.333","0.34030018289565","0.29447177863331","0.36522803847104","0"
"all","graduate_school","all","JP","4777","1595.496","0.60558669964363","0.11353755908601","0.2764075331064","0.004468208163953"
