gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken,time_period
all,all,all,JP,3691,1657.933,0.697118343,0.070770565,0.232111092,0,"Jul 6-Jul 19, 2020"
all,all,all,JP,5732,2668.272,0.699434319,0.058927018,0.241638662,0,"Jul 20-Aug 2, 2020"
all,all,all,JP,3591,1698.154,0.631924979,0.076190803,0.291884218,0,"Aug 3-Aug 16, 2020"
all,all,all,JP,3883,1804.293,0.626783585,0.076835229,0.296381187,0,"Aug 17-Aug 30, 2020"
all,all,all,JP,3457,1677.862,0.539717191,0.105405393,0.354877416,0,"Aug 31-Sep 13, 2020"
all,all,all,JP,478,195.268,0.545943399,0.093512018,0.360544583,0,"Sep 14- Sep 27, 2020"
all,all,all,JP,3165,1488.879,0.554109281,0.113575136,0.332315583,0,"Sep 28- Oct 11, 2020"
all,all,all,JP,2790,1269.816,0.528598439,0.146505063,0.324896498,0,"Oct 12- Oct 25, 2020"
all,all,all,JP,3234,1682.572,0.531021578,0.143441378,0.325537044,0,"Oct 26- Nov 8, 2020"
all,all,all,JP,3303,1653.201,0.562150998,0.119179881,0.318669121,0,"Nov 9- Nov 22, 2020"
all,all,all,JP,2974,1433.43,0.485500348,0.133046631,0.381453021,0,"Nov 23- Dec 6, 2020"
all,all,all,JP,2849,1426.518,0.428576586,0.153339254,0.41808416,0,"Dec 7- Dec 20, 2020"
all,all,all,JP,3109,1404.269,0.490511483,0.133943864,0.375544653,0,"Dec 21- Jan 3, 2021"
all,all,all,JP,3067,1491.108,0.485229834,0.121127193,0.393642973,0,"Jan 4- Jan 17, 2021"
all,all,all,JP,3080,1450.377,0.510492752,0.119532706,0.365714121,0.004260422,"Jan 18- Jan 31, 2021"
all,all,all,JP,3117,1392.055,0.599157562,0.09317595,0.303023705,0.004642783,"Feb 1-Feb 14, 2021"
all,all,all,JP,3099,1439.078,0.663131328,0.08862933,0.243378563,0.004860778,"Feb 15-Feb 28, 2021"
all,all,all,JP,3289,1685.82,0.655493377,0.087732216,0.249900123,0.006874284,"Mar 1- Mar14, 2021"
