gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken
all,less_than_primary,all,US,331,191.551,0.428477078000329,0.285074015876325,0.264271374928237,0.022177531195108
all,less_than_primary,all,AF,202,77.996,0.806805062729993,0.065781520531149,0.127413416738858,0
all,less_than_primary,all,AR,312,36.285,0.528266915166066,0.183736836315818,0.145343238765758,0.142653009752356
all,less_than_primary,all,BD,564,209.561,0.859403567918481,0.021168124296568,0.09015642078178,0.029271887003171
all,less_than_primary,all,BR,2984,2152.22,0.728370536606989,0.108518732368938,0.159357185044487,0.003753545979584
all,less_than_primary,all,CO,275,199.743,0.613232631177365,0.200574982928322,0.186192385894312,0
all,less_than_primary,all,DE,666,424.831,0.482293611695976,0.229305071377086,0.283092001390684,0.005309315536253
all,less_than_primary,all,FR,190,156.228,0.382130591096406,0.424634536525864,0.161094808292262,0.032140064085467
all,less_than_primary,all,GB,113,80.116,0.566385289967455,0.238879317712134,0.126475792463368,0.068259599857042
all,less_than_primary,all,ID,392,225.403,0.391513179163536,0.313327919198882,0.284043834833748,0.011115066803832
all,less_than_primary,all,IN,609,282.458,0.70187295215741,0.123323954334799,0.142964212165727,0.031838881342063
all,less_than_primary,all,IT,441,267.451,0.628478159680215,0.150235073650838,0.203951662629836,0.01733510403911
all,less_than_primary,all,JP,95,42.375,0.556998255301338,0.295382157049216,0.147619587649444,0
