gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken,time_period
all,all,all,US,3134,1460.456,0.60188435,0.195229446,0.202886204,0,"Jul 6-Jul 19, 2020"
all,all,all,US,4634,2854.816,0.57187294,0.189803156,0.238323904,0,"Jul 20-Aug 2, 2020"
all,all,all,US,3677,2490.052,0.547163811,0.225701504,0.227134685,0,"Aug 3-Aug 16, 2020"
all,all,all,US,3075,1985.431,0.524524155,0.228518775,0.24695707,0,"Aug 17-Aug 30, 2020"
all,all,all,US,2819,1854.289,0.448693309,0.284856045,0.266450646,0,"Aug 31-Sep 13, 2020"
all,all,all,US,536,397.912,0.393249265,0.286044641,0.320706094,0,"Sep 14- Sep 27, 2020"
all,all,all,US,3203,1886.365,0.444272297,0.271150686,0.284577017,0,"Sep 28- Oct 11, 2020"
all,all,all,US,2887,1539.421,0.463748951,0.266366118,0.26988493,0,"Oct 12- Oct 25, 2020"
all,all,all,US,2689,1505.784,0.454967873,0.264956317,0.28007581,0,"Oct 26- Nov 8, 2020"
all,all,all,US,3380,2068.082,0.523652495,0.215010546,0.261336959,0,"Nov 9- Nov 22, 2020"
all,all,all,US,3322,2048.409,0.561898612,0.208436517,0.229664871,0,"Nov 23- Dec 6, 2020"
all,all,all,US,2986,1798.732,0.574822584,0.207423713,0.217753703,0,"Dec 7- Dec 20, 2020"
all,all,all,US,3197,1978.234,0.62681382,0.204938728,0.168247452,,"Dec 21- Jan 3, 2021"
all,all,all,US,3177,2027.713,0.689855046,0.156595541,0.153549413,0,"Jan 4- Jan 17, 2021"
all,all,all,US,2949,1643.391,0.567071396,0.163046844,0.148793206,0.121088554,"Jan 18- Jan 31, 2021"
all,all,all,US,3108,1826.811,0.528481386,0.156435035,0.128121206,0.186962374,"Feb 1-Feb 14, 2021"
all,all,all,US,3094,1896.917,0.473410191,0.171242789,0.114316482,0.241030537,"Feb 15-Feb 28, 2021"
all,all,all,US,3153,1816.63,0.423156567,0.169280636,0.093844966,0.31371783,"Mar 1- Mar14, 2021"
