gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken
all,secondary_school,all,KE,1160,632.104,0.7657514539880697,0.12905850043646958,0.10519004557546092,0
all,college,all,KE,4077,1935.632,0.6940689779116772,0.17479739381856935,0.13113362826975622,0
all,graduate_school,all,KE,920,391.993,0.6595783815570863,0.1821767499815558,0.15824486846135719,0
all,less_than_primary,all,US,331,191.551,0.42847707800032964,0.28507401587632536,0.264271374928237,0.022177531195108024
all,secondary_school,all,AF,416,124.434,0.7330177479777159,0.09407770262593226,0.1729045493963514,0
all,primary_school,all,AF,227,70.886,0.6895010349299208,0.11506738912084082,0.19543157594923827,0
all,less_than_primary,all,AF,202,77.996,0.8068050627299932,0.06578152053114862,0.1274134167388588,0
all,primary_school,all,US,2551,1454.25,0.4301877563059623,0.28796863934812966,0.2506098655911621,0.03123373875474572
all,secondary_school,all,US,10899,5655.706,0.5181233845576875,0.18805079739453276,0.24177842164920918,0.05204739639857119
all,college,all,US,30445,15423.927,0.5035838339846307,0.22530826752983538,0.198824005545921,0.07228389293961114
all,graduate_school,all,US,14099,7390.813,0.5680010959717803,0.16880257864560527,0.17469917159080886,0.08849715379180983
all,college,all,AF,2532,523.396,0.79680858172495,0.08506990910450583,0.11812150917054363,0
all,graduate_school,all,AF,1498,311.32,0.7786521564594655,0.11646975446439929,0.10487808907613494,0
all,primary_school,all,AO,66,32.656,0.586647154968666,0.19752938163053127,0.21582346340080247,0
all,secondary_school,all,AO,1485,724.738,0.5528715038497654,0.11014971354971899,0.3369787826005147,0
all,college,all,AO,3389,1604.899,0.5811241565138748,0.12698138750812266,0.2918944559780013,0
all,graduate_school,all,AO,596,264.91,0.6093957535466217,0.1328257121751722,0.25777853427820613,0
all,graduate_school,all,AR,3857,2009.948,0.6385950434099013,0.13972986737741985,0.18796490843865973,0.033710180774017724
all,college,all,AR,20418,8824.946,0.6468182115060038,0.13825684630467763,0.19452179234309416,0.02040314984622313
all,secondary_school,all,AR,30312,19983.961,0.6392316074870636,0.1393882751304324,0.21389176000816137,0.0074883573743396515
all,primary_school,all,AR,6310,4371.269,0.6504446845652361,0.1379244430599486,0.206224503961932,0.0054063684128841565
all,less_than_primary,all,AR,312,36.285,0.5282669151660665,0.18373683631581875,0.14534323876575803,0.14265300975235656
all,primary_school,all,AU,63,46.264,0.7016401924344928,0.13954134225429718,0.1588184653112101,0
all,secondary_school,all,AU,1941,1491.423,0.7296591102319292,0.10455768033326983,0.1657832094348001,0
all,college,all,AU,2552,1970.27,0.7212212738991421,0.11155697776095853,0.16722174833989764,0
all,graduate_school,all,AU,1092,792.049,0.7868651760182703,0.09709702229085916,0.1160378016908709,0
all,graduate_school,all,AZ,742,461.812,0.31030205319768217,0.411537891433003,0.2781600553693149,0
all,college,all,AZ,2511,1528.447,0.2925284169432138,0.4200614442693758,0.2874101387874106,0
all,secondary_school,all,AZ,635,440.281,0.26696494968075296,0.4241471836414482,0.3088878666777992,0
all,primary_school,all,AZ,118,87.366,0.28065733523453346,0.41988216762306574,0.2994604971424006,0
all,less_than_primary,all,BD,564,209.561,0.8594035679184818,0.021168124296567597,0.0901564207817803,0.029271887003170856
all,primary_school,all,BD,708,268.318,0.6486609943084731,0.12783870971226663,0.2122904916451946,0.01120980433406577
all,college,all,BD,28927,6814.294,0.7683211267879687,0.08533281256693435,0.11283010289668284,0.03351595774843342
all,secondary_school,all,BD,4699,1220.244,0.718233438180196,0.09941293205256901,0.15797181743542776,0.024381812331806165
all,graduate_school,all,BD,22304,4599.507,0.7876019671803068,0.07856890716504386,0.09093066514812904,0.04289846050653149
all,graduate_school,all,BO,990,485.934,0.6692196752969735,0.15800913706388867,0.17277118763913746,0
all,college,all,BO,3171,1732.667,0.694427132791624,0.13877363880790788,0.16679922840046701,0
all,secondary_school,all,BO,1251,779.223,0.6816116267950524,0.11857791480481042,0.1998104584001373,0
all,primary_school,all,BO,68,41.029,0.5847869606535383,0.16406569772416596,0.251147341622296,0
all,less_than_primary,all,BR,2984,2152.22,0.7283705366069896,0.10851873236893857,0.15935718504448745,0.003753545979584293
all,primary_school,all,BR,6384,4402.24,0.7319016943204727,0.11369653532496234,0.1498131519705743,0.004588618383988565
all,secondary_school,all,BR,25265,16579.826,0.7511733154445,0.09337946697800245,0.14724204388456655,0.008205173692933387
all,college,all,BR,17122,9697.733,0.7832665167100855,0.08785212924786691,0.11674849770248717,0.012132856339558379
all,graduate_school,all,BR,8910,3648.19,0.801348514010128,0.07464515706211744,0.10557247986935633,0.018433849058394874
all,graduate_school,all,CA,896,641.881,0.7105650595370029,0.1308453136189991,0.15858962684399788,0
all,college,all,CA,3116,2355.405,0.6781143369376008,0.1258343569749839,0.19605130608741678,0
all,secondary_school,all,CA,1377,999.338,0.6013598818183169,0.17257961303705197,0.22606050514463152,0
all,primary_school,all,CA,137,95.637,0.6182614804251723,0.2187216637500249,0.16301685582480263,0
all,primary_school,all,CL,243,151.58,0.6124716850660333,0.16848270113015143,0.21904561380381518,0
all,secondary_school,all,CL,2237,1679.315,0.6087376500912923,0.1682303990543633,0.223031950854344,0
all,college,all,CL,2528,1735.777,0.6099645970222694,0.16672828892238967,0.2233071140553398,0
all,graduate_school,all,CL,476,329.808,0.6754438700013625,0.1591024649722032,0.16545366502643427,0
all,graduate_school,all,CM,1856,1104.422,0.32909891343964187,0.44684817298499835,0.2240529135753598,0
all,college,all,CM,2415,1486.238,0.3370089540383691,0.4333820431392853,0.22960900282234561,0
all,secondary_school,all,CM,1466,903.717,0.3894257688818172,0.3833503448249943,0.22722388629318876,0
all,primary_school,all,CM,97,59.137,0.3896958468970736,0.3810320100105234,0.22927214309240299,0
all,less_than_primary,all,CO,275,199.743,0.6132326311773659,0.20057498292832213,0.18619238589431206,0
all,primary_school,all,CO,2452,1718.692,0.6208430570643099,0.15605855343959327,0.2201478116632812,0.0029505778328153868
all,secondary_school,all,CO,24909,16165.429,0.6342554352563643,0.14526923698162214,0.21930501441405997,0.0011703133479518913
all,college,all,CO,25569,13829.427,0.6655139631152838,0.1497229944313589,0.18156807398642535,0.003194968466932539
all,graduate_school,all,CO,7663,3835.033,0.7141011655284625,0.12750077858756742,0.15560043713552643,0.002797618748439999
all,graduate_school,all,DE,2518,864.814,0.6453930911295505,0.1875183361740465,0.14710451807102967,0.019984054625371353
all,college,all,DE,27248,15338.617,0.6128647660432808,0.19060927210899714,0.17996722694703418,0.016558734900686777
all,secondary_school,all,DE,28829,17112.186,0.5648519746615042,0.20132884731097805,0.21467217714719514,0.0191470008803203
all,primary_school,all,DE,3773,2126.504,0.6167606300899532,0.1642105496132261,0.20868847476731728,0.010340345529502113
all,less_than_primary,all,DE,666,424.831,0.482293611695976,0.2293050713770869,0.28309200139068436,0.005309315536252625
all,primary_school,all,DZ,141,62.308,0.4531470323550024,0.18352657814034154,0.36332638950465623,0
all,secondary_school,all,DZ,1625,765.509,0.43279236248421615,0.28287864366392196,0.28432899385186144,0
all,college,all,DZ,2408,1055.433,0.4192187571516958,0.29742497783590566,0.28335626501239763,0
all,graduate_school,all,DZ,1389,572.774,0.3924341759344103,0.3352413517822268,0.27232447228336243,0
all,graduate_school,all,EC,572,293.497,0.7654168015196093,0.10262529494907272,0.13195790353131845,0
all,college,all,EC,2728,1360.992,0.7300217631766834,0.12850660827558863,0.14147162854772688,0
all,secondary_school,all,EC,2133,1325.331,0.7254035485137078,0.0932911699390216,0.18130528154727035,0
all,primary_school,all,EC,229,148.688,0.6319931458230965,0.1395913923435348,0.22841546183336875,0
all,primary_school,all,EE,108,49.627,0.5008456059667076,0.1845539794382224,0.3146004145950699,0
all,secondary_school,all,EE,1297,517.552,0.4577541842243554,0.2379585554441262,0.3042872603315178,0
all,college,all,EE,2120,890.462,0.5157172450760132,0.22826435368725137,0.25601840123673564,0
all,graduate_school,all,EE,872,359.291,0.5693887115303913,0.2038074831250529,0.22680380534455563,0
all,graduate_school,all,ES,777,468.28,0.5492230125290136,0.1503382364652061,0.3004387510057802,0
all,college,all,ES,2270,1260.604,0.550873358825436,0.16032877638118492,0.28879786479337854,0
all,secondary_school,all,ES,2396,1531.38,0.5301737489353731,0.18278772071020224,0.28703853035442556,0
all,primary_school,all,ES,615,399.226,0.5299796843521628,0.14176474095453476,0.32825557469330224,0
all,less_than_primary,all,FR,190,156.228,0.382130591096406,0.42463453652586475,0.16109480829226266,0.03214006408546651
all,primary_school,all,FR,2142,1510.057,0.4727223641333744,0.2441482424944925,0.2607431775754238,0.02238621579670975
all,secondary_school,all,FR,24329,18230.176,0.3854635258334616,0.32065105098706675,0.27896658615752407,0.014918837021949231
all,college,all,FR,15124,10536.569,0.4616814817308326,0.2689129231801731,0.2541795303632074,0.015226064725786964
all,graduate_school,all,FR,21781,14555.215,0.49897807532588956,0.2338068659199586,0.2476376491209241,0.019577409633229372
all,college,all,GB,31414,18394.446,0.679900660870138,0.10471383987394985,0.14261576572047643,0.07276973353543259
all,graduate_school,all,GB,12910,2569.655,0.7267128152936817,0.08878247518890656,0.10833800720506008,0.07616670231235029
all,secondary_school,all,GB,16423,9611.928,0.6728410205164832,0.09770887517673825,0.1401867211359792,0.08926338317080873
all,primary_school,all,GB,332,252.761,0.5382865319848839,0.19938173574103948,0.18960599131444586,0.07272574095963084
all,less_than_primary,all,GB,113,80.116,0.5663852899674553,0.23887931771213403,0.12647579246336849,0.06825959985704207
all,primary_school,all,GE,51,26.06,0.4837318280666052,0.34199572382598004,0.1742724481074148,0
all,secondary_school,all,GE,526,305.168,0.33752980501144875,0.3968960146904121,0.2655741802981392,0
all,college,all,GE,3050,1198.494,0.37198865600107683,0.31582154701538356,0.31218979698354027,0
all,graduate_school,all,GE,1372,563.476,0.4696080080345258,0.24658270384834297,0.2838092881171311,0
all,graduate_school,all,GH,1067,424.135,0.5321174824550549,0.25071247289882875,0.21717004464611683,0
all,college,all,GH,2835,1187.447,0.5790100753228401,0.23894001500568396,0.18204990967147328,0
all,secondary_school,all,GH,1531,795.79,0.5387098650552411,0.2557837692639897,0.2055063656807684,0
all,primary_school,all,GH,82,53.174,0.5557932833311723,0.263467022905466,0.18073969376336158,0
all,primary_school,all,GT,320,224.374,0.6563188725637122,0.12068522294461478,0.22299590449167295,0
all,secondary_school,all,GT,2300,1324.397,0.7315470671227229,0.0943476804357969,0.1741052524414778,0
all,college,all,GT,2707,1407.013,0.747519209804394,0.0950896678922238,0.15739112230337968,0
all,graduate_school,all,GT,553,281.634,0.7076830142369446,0.13691418935172622,0.15540279641132906,0
all,primary_school,all,HN,447,350.217,0.6645901051757416,0.11996326475676862,0.21544663006748926,0
all,secondary_school,all,HN,2159,1428.438,0.6832841688736123,0.10675267738636231,0.2099631537400249,0
all,college,all,HN,2450,1518.877,0.7372018287052255,0.09857491351091817,0.16422325778385752,0
all,graduate_school,all,HN,371,190.236,0.7045437876441778,0.14596284236764132,0.14949336998818136,0
all,graduate_school,all,ID,5287,2566.464,0.5645302640694633,0.2036604535580217,0.2126360634946108,0.01917321887790206
all,college,all,ID,35046,18233.748,0.5506834725903202,0.1970487416406591,0.2379448938604537,0.01432289190858866
all,secondary_school,all,ID,17086,9585.315,0.5096764011164991,0.1931817924885327,0.29069450246413514,0.0064473039308353165
all,primary_school,all,ID,2191,1342.663,0.46785815481430326,0.19985151411705732,0.3234037548810941,0.008886576187545686
all,less_than_primary,all,ID,392,225.403,0.3915131791635363,0.31332791919888214,0.28404383483374895,0.011115066803832447
all,less_than_primary,all,IN,609,282.458,0.7018729521574105,0.12332395433479941,0.14296421216572713,0.03183888134206285
all,primary_school,all,IN,1032,419.396,0.6294307054987144,0.16826955697596852,0.18008668494144972,0.022213052583867788
all,secondary_school,all,IN,6546,2259.267,0.7044859611244996,0.1281381798718834,0.15193435399614288,0.015441505007474455
all,college,all,IN,31010,9040.218,0.7265417791102637,0.10642622809798595,0.14671241386182804,0.020319578929932535
all,graduate_school,all,IN,22151,5964.978,0.7373879826751286,0.10210407082156933,0.1391810070541577,0.021326939449136842
all,graduate_school,all,IQ,537,218.634,0.6030736711381844,0.21469451367557266,0.182231815186243,0
all,college,all,IQ,3367,1334.738,0.6641368131343863,0.15872821572280046,0.1771349711428123,0
all,secondary_school,all,IQ,1251,529.651,0.6378173575991473,0.18645045440932873,0.17573218799152565,0
all,primary_school,all,IQ,213,94.403,0.6250743005097374,0.16604283448972534,0.20888286500053743,0
all,less_than_primary,all,IT,441,267.451,0.6284781596802154,0.15023507365083896,0.20395166262983613,0.017335104039109567
all,primary_school,all,IT,3424,2304.807,0.6289885435238011,0.1427762528344273,0.21857611556382373,0.009659088077949466
all,secondary_school,all,IT,31490,19559.837,0.6491821374959273,0.1276889633411588,0.20772916118216517,0.015399737980747613
all,college,all,IT,14333,6191.206,0.6645180997263206,0.12562066433930807,0.18339242683859314,0.02646880909577878
all,graduate_school,all,IT,13772,7486.098,0.727604053700354,0.09691580559049955,0.1391707783758779,0.036309362333268404
all,graduate_school,all,JM,780,542.333,0.3403001828956545,0.2944717786333073,0.3652280384710383,0
all,college,all,JM,1827,1113.296,0.3092689742276816,0.3764087730282731,0.3143222527440453,0
all,secondary_school,all,JM,1725,1211.571,0.30630892298718065,0.32722730217766044,0.3664637748351588,0
all,primary_school,all,JM,134,101.535,0.31011932939027953,0.2972058723540993,0.3926747982556211,0
all,less_than_primary,all,JP,95,42.375,0.5569982553013388,0.2953821570492167,0.14761958764944466,0
all,primary_school,all,JP,139,27.366,0.5307699515209318,0.10776303939026113,0.3614670090888076,0
all,primary_school,all,KE,220,132.313,0.8045145286177904,0.08318279221899608,0.11230267916321332,0
all,secondary_school,all,JP,18287,6353.432,0.5659594437595278,0.10348407443821055,0.3291556954534805,0.0014007863487765016
