gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken
all,all,all,DE,3202,1821.521,0.5510770306837461,0.23745715381062693,0.21146581550562757,0
all,all,all,FR,3203,2294.416,0.3919051127605472,0.3238738047340245,0.28422108250542805,0
all,all,all,GB,3003,2199.041,0.692627466880577,0.13432556837795775,0.1730469647414677,0
all,all,all,IN,3700,1114.799,0.748348886360042,0.10840271825798262,0.1432483953819764,0
all,all,all,IT,3350,1964.182,0.6019043350470755,0.1425048582446857,0.2555908067082388,0
all,all,all,JP,3457,1677.862,0.5397171911140808,0.10540539307433533,0.35487741581158294,0
all,all,all,BD,3262,800.844,0.8053342444314462,0.0677696850324673,0.12689607053608426,0
all,all,all,MX,3021,1636.533,0.6778701683546718,0.1140837245685617,0.20804610707676616,0
all,all,all,PH,2865,1268.431,0.48741523227476763,0.22454332441547784,0.2880414433097553,0
all,all,all,RO,2830,1575.684,0.41440216015759596,0.32718925045205655,0.25840858939034816,0
all,all,all,TR,3218,1656.351,0.534518016994185,0.19111159293755867,0.27437039006825653,0
all,all,all,TH,2552,1621.786,0.7514150762838082,0.10256196880577789,0.14602295491041398,0
all,all,all,US,2819,1854.289,0.4486933090515261,0.2848560453241199,0.26645064562435233,0
all,all,all,VN,2844,1015.544,0.8271604239942985,0.07173014621118261,0.10110942979452084,0
