gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken
all,all,all,DE,3225,1998.179,0.6594887346059992,0.13396972650203803,0.12767298143328257,0.07886855745867966
all,all,all,FR,3159,2467.107,0.5217502353829607,0.2126468844974281,0.17970068662601188,0.08590219349359704
all,all,all,GB,3152,1354.395,0.513311187840651,0.047120653729567405,0.05698256781747723,0.3825855906123042
all,all,all,IN,3032,989.725,0.6992759528923915,0.1105446047861096,0.10399039737840785,0.08618904494308784
all,all,all,IT,3050,1946.0,0.7456388606358116,0.06143642955670544,0.1041507828776025,0.08877392692988192
all,all,all,JP,3289,1685.82,0.6554933765372567,0.08773221621971637,0.249900123226177,0.006874284016851886
all,all,all,MX,3033,1585.161,0.7813516551053067,0.06539799174777676,0.12357277310821516,0.029677580038700902
all,all,all,BD,3085,858.518,0.6036655902390449,0.08217410610547776,0.07644285063631248,0.2377174530191654
all,all,all,PH,3053,1477.288,0.5205297184001354,0.20406973135502213,0.26764649295208437,0.007754057292756777
all,all,all,RO,3353,2048.629,0.45255996057153874,0.2262340299990461,0.14227866342325837,0.17892734600615623
all,all,all,TR,3298,1659.596,0.5336304251567755,0.16923809089322797,0.18231858123620176,0.11481290271379467
all,all,all,TH,3534,1877.422,0.673634100532316,0.16779584878467646,0.15192588471111387,0.006644165971891656
all,all,all,US,3153,1816.63,0.42315656718803507,0.16928063647444566,0.09384496618848111,0.3137178301490382
all,all,all,VN,2979,1133.054,0.8564001235203802,0.04940321507183987,0.09152427132227815,0.002672390085500093
