gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken,time_period
all,all,all,FR,3745,2862.446,0.507975667,0.219350231,0.272674103,0,"Jul 6-Jul 19, 2020"
all,all,all,FR,4994,3101.738,0.481543538,0.232168702,0.28628776,0,"Jul 20-Aug 2, 2020"
all,all,all,FR,3981,2778.667,0.45678911,0.249331349,0.293879541,0,"Aug 3-Aug 16, 2020"
all,all,all,FR,3214,2030.834,0.42265702,0.285094349,0.292248632,0,"Aug 17-Aug 30, 2020"
all,all,all,FR,3203,2294.416,0.391905113,0.323873805,0.284221083,0,"Aug 31-Sep 13, 2020"
all,all,all,FR,2282,1611.406,0.3675111,0.342105469,0.290383431,0,"Sep 14- Sep 27, 2020"
all,all,all,FR,3084,2238.497,0.379520128,0.33438687,0.286093002,0,"Sep 28- Oct 11, 2020"
all,all,all,FR,3096,2248.055,0.415276464,0.292206359,0.292517177,0,"Oct 12- Oct 25, 2020"
all,all,all,FR,3312,1654.56,0.418987656,0.289579449,0.291432894,0,"Oct 26- Nov 8, 2020"
all,all,all,FR,3116,2261.665,0.376314208,0.321864203,0.301821589,0,"Nov 9- Nov 22, 2020"
all,all,all,FR,3942,3055.055,0.349376086,0.356356591,0.294267323,0,"Nov 23- Dec 6, 2020"
all,all,all,FR,3183,2541.653,0.328911258,0.378811641,0.292277101,0,"Dec 7- Dec 20, 2020"
all,all,all,FR,3239,2532.173,0.409743003,0.320680663,0.269576334,0,"Dec 21- Jan 3, 2021"
all,all,all,FR,3329,2520.777,0.534695364,0.243670966,0.221633671,0,"Jan 4- Jan 17, 2021"
all,all,all,FR,3148,2607.989,0.504400642,0.24440574,0.224370785,0.026822833,"Jan 18- Jan 31, 2021"
all,all,all,FR,3124,2419.121,0.51578483,0.226829891,0.225123351,0.032261928,"Feb 1-Feb 14, 2021"
all,all,all,FR,3162,2160.974,0.508223785,0.222062391,0.217154741,0.052559083,"Feb 15-Feb 28, 2021"
all,all,all,FR,3159,2467.107,0.521750235,0.212646884,0.179700687,0.085902193,"Mar 1- Mar14, 2021"
