gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken,time_period
all,all,all,IT,3837,2424.952,0.621091843,0.148483864,0.230424293,0,"Jul 6-Jul 19, 2020"
all,all,all,IT,4765,949.371,0.627417966,0.167779557,0.204802477,0,"Jul 20-Aug 2, 2020"
all,all,all,IT,4624,2564.202,0.655075079,0.134334857,0.210590064,0,"Aug 3-Aug 16, 2020"
all,all,all,IT,3706,2112.394,0.602697857,0.153335988,0.243966154,0,"Aug 17-Aug 30, 2020"
all,all,all,IT,3350,1964.182,0.601904335,0.142504858,0.255590807,0,"Aug 31-Sep 13, 2020"
all,all,all,IT,1830,1140.12,0.611062417,0.147021433,0.241916149,0,"Sep 14- Sep 27, 2020"
all,all,all,IT,3005,1863.677,0.608486953,0.168334374,0.223178673,0,"Sep 28- Oct 11, 2020"
all,all,all,IT,3235,1958.05,0.613083277,0.159736696,0.227180027,0,"Oct 12- Oct 25, 2020"
all,all,all,IT,3018,1829.223,0.618081566,0.155321,0.226597435,0,"Oct 26- Nov 8, 2020"
all,all,all,IT,3341,2132.162,0.608555526,0.147787067,0.243657408,0,"Nov 9- Nov 22, 2020"
all,all,all,IT,3759,2443.1,0.611579097,0.158282647,0.230138256,0,"Nov 23- Dec 6, 2020"
all,all,all,IT,3081,2077.23,0.638119812,0.139814256,0.222065931,0,"Dec 7- Dec 20, 2020"
all,all,all,IT,3273,2138.166,0.724490766,0.101939608,0.173569625,0,"Dec 21- Jan 3, 2021"
all,all,all,IT,3130,2025.123,0.795390376,0.072832211,0.131777413,0,"Jan 4- Jan 17, 2021"
all,all,all,IT,3067,1908.78,0.765578741,0.073706135,0.118307838,0.042407287,"Jan 18- Jan 31, 2021"
all,all,all,IT,3157,1998.462,0.736062784,0.068988651,0.130980256,0.063968309,"Feb 1-Feb 14, 2021"
all,all,all,IT,3049,1832.266,0.733067569,0.079293584,0.115543585,0.072095263,"Feb 15-Feb 28, 2021"
all,all,all,IT,3050,1946,0.745638861,0.06143643,0.104150783,0.088773927,"Mar 1- Mar14, 2021"
