gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken
all,primary_school,all,AF,227,70.886,0.689501035,0.115067389,0.195431576,0
all,primary_school,all,US,2551,1454.25,0.430187756,0.287968639,0.250609866,0.031233739
all,primary_school,all,AO,66,32.656,0.586647155,0.197529382,0.215823463,0
all,primary_school,all,AR,6310,4371.269,0.650444685,0.137924443,0.206224504,0.005406368
all,primary_school,all,AU,63,46.264,0.701640192,0.139541342,0.158818465,0
all,primary_school,all,AZ,118,87.366,0.280657335,0.419882168,0.299460497,0
all,primary_school,all,BD,708,268.318,0.648660994,0.12783871,0.212290492,0.011209804
all,primary_school,all,BO,68,41.029,0.584786961,0.164065698,0.251147342,0
all,primary_school,all,BR,6384,4402.24,0.731901694,0.113696535,0.149813152,0.004588618
all,primary_school,all,CA,137,95.637,0.61826148,0.218721664,0.163016856,0
all,primary_school,all,CL,243,151.58,0.612471685,0.168482701,0.219045614,0
all,primary_school,all,CM,97,59.137,0.389695847,0.38103201,0.229272143,0
all,primary_school,all,CO,2452,1718.692,0.620843057,0.156058553,0.220147812,0.002950578
all,primary_school,all,DE,3773,2126.504,0.61676063,0.16421055,0.208688475,0.010340346
all,primary_school,all,DZ,141,62.308,0.453147032,0.183526578,0.36332639,0
all,primary_school,all,EC,229,148.688,0.631993146,0.139591392,0.228415462,0
all,primary_school,all,EE,108,49.627,0.500845606,0.184553979,0.314600415,0
all,primary_school,all,ES,615,399.226,0.529979684,0.141764741,0.328255575,0
all,primary_school,all,FR,2142,1510.057,0.472722364,0.244148242,0.260743178,0.022386216
all,primary_school,all,GB,332,252.761,0.538286532,0.199381736,0.189605991,0.072725741
all,primary_school,all,GE,51,26.06,0.483731828,0.341995724,0.174272448,0
all,primary_school,all,GH,82,53.174,0.555793283,0.263467023,0.180739694,0
all,primary_school,all,GT,320,224.374,0.656318873,0.120685223,0.222995904,0
all,primary_school,all,HN,447,350.217,0.664590105,0.119963265,0.21544663,0
all,primary_school,all,ID,2191,1342.663,0.467858155,0.199851514,0.323403755,0.008886576
all,primary_school,all,IN,1032,419.396,0.629430705,0.168269557,0.180086685,0.022213053
all,primary_school,all,IQ,213,94.403,0.625074301,0.166042834,0.208882865,0
all,primary_school,all,IT,3424,2304.807,0.628988544,0.142776253,0.218576116,0.009659088
all,primary_school,all,JM,134,101.535,0.310119329,0.297205872,0.392674798,0
all,primary_school,all,JP,139,27.366,0.530769952,0.107763039,0.361467009,0
all,primary_school,all,KE,220,132.313,0.804514529,0.083182792,0.112302679,0
