gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,vaccine_accept_alreadytaken
all,secondary_school,all,KE,1160,632.104,0.765751454,0.1290585,0.105190046,0
all,secondary_school,all,AF,416,124.434,0.733017748,0.094077703,0.172904549,0
all,secondary_school,all,US,10899,5655.706,0.518123385,0.188050797,0.241778422,0.052047396
all,secondary_school,all,AO,1485,724.738,0.552871504,0.110149714,0.336978783,0
all,secondary_school,all,AR,30312,19983.961,0.639231607,0.139388275,0.21389176,0.007488357
all,secondary_school,all,AU,1941,1491.423,0.72965911,0.10455768,0.165783209,0
all,secondary_school,all,AZ,635,440.281,0.26696495,0.424147184,0.308887867,0
all,secondary_school,all,BD,4699,1220.244,0.718233438,0.099412932,0.157971817,0.024381812
all,secondary_school,all,BO,1251,779.223,0.681611627,0.118577915,0.199810458,0
all,secondary_school,all,BR,25265,16579.826,0.751173315,0.093379467,0.147242044,0.008205174
all,secondary_school,all,CA,1377,999.338,0.601359882,0.172579613,0.226060505,0
all,secondary_school,all,CL,2237,1679.315,0.60873765,0.168230399,0.223031951,0
all,secondary_school,all,CM,1466,903.717,0.389425769,0.383350345,0.227223886,0
all,secondary_school,all,CO,24909,16165.429,0.634255435,0.145269237,0.219305014,0.001170313
all,secondary_school,all,DE,28829,17112.186,0.564851975,0.201328847,0.214672177,0.019147001
all,secondary_school,all,DZ,1625,765.509,0.432792362,0.282878644,0.284328994,0
all,secondary_school,all,EC,2133,1325.331,0.725403549,0.09329117,0.181305282,0
all,secondary_school,all,EE,1297,517.552,0.457754184,0.237958555,0.30428726,0
all,secondary_school,all,ES,2396,1531.38,0.530173749,0.182787721,0.28703853,0
all,secondary_school,all,FR,24329,18230.176,0.385463526,0.320651051,0.278966586,0.014918837
all,secondary_school,all,GB,16423,9611.928,0.672841021,0.097708875,0.140186721,0.089263383
all,secondary_school,all,GE,526,305.168,0.337529805,0.396896015,0.26557418,0
all,secondary_school,all,GH,1531,795.79,0.538709865,0.255783769,0.205506366,0
all,secondary_school,all,GT,2300,1324.397,0.731547067,0.09434768,0.174105252,0
all,secondary_school,all,HN,2159,1428.438,0.683284169,0.106752677,0.209963154,0
all,secondary_school,all,ID,17086,9585.315,0.509676401,0.193181792,0.290694502,0.006447304
all,secondary_school,all,IN,6546,2259.267,0.704485961,0.12813818,0.151934354,0.015441505
all,secondary_school,all,IQ,1251,529.651,0.637817358,0.186450454,0.175732188,0
all,secondary_school,all,IT,31490,19559.837,0.649182137,0.127688963,0.207729161,0.015399738
all,secondary_school,all,JM,1725,1211.571,0.306308923,0.327227302,0.366463775,0
all,secondary_school,all,JP,18287,6353.432,0.565959444,0.103484074,0.329155695,0.001400786
